DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total,ADM_PCT_10,PCT_ADM_15,ADM_PCT_20,ADM_PCT_40,ADM_PCT_AB,TTL_PCT_10,TTL_PCT_15,TTL_PCT_20,TTL_PCT_40,TTL_PCT_AB
11/3/2025 07:00,07,1,0,0,0,0,0,0,1,2,1,1,1,1,0.5,18,1,1,0,0,0,0,0,20,22,0.9,0.95,1,1,0,0.9048,0.9524,1,1,0.0455
11/3/2025 08:00,08,6,1,1,0,0,0,0,4,12,0.75,0.875,1,1,0.3333,29,3,0,3,1,0,0,0,36,48,0.8056,0.8889,0.8889,0.9722,0,0.7955,0.8864,0.9091,0.9773,0.0833
11/3/2025 09:00,09,14,0,0,0,0,0,0,5,19,1,1,1,1,0.2632,30,1,0,1,0,0,0,0,32,51,0.9375,0.9688,0.9688,1,0,0.9565,0.9783,0.9783,1,0.098
11/3/2025 10:00,10,9,1,0,2,0,0,0,11,23,0.75,0.8333,0.8333,1,0.4783,24,6,0,6,1,0,0,1,38,61,0.6486,0.8108,0.8108,0.973,0.0263,0.6735,0.8163,0.8163,0.9796,0.1967
11/3/2025 11:00,11,9,0,1,0,0,0,0,7,17,0.9,0.9,1,1,0.4118,25,0,1,1,0,0,0,0,27,44,0.9259,0.9259,0.963,1,0,0.9189,0.9189,0.973,1,0.1591
11/3/2025 12:00,12,6,2,0,0,0,0,0,19,27,0.75,1,1,1,0.7037,26,4,0,3,1,0,0,3,37,64,0.7647,0.8824,0.8824,0.9706,0.0811,0.7619,0.9048,0.9048,0.9762,0.3438
11/3/2025 13:00,13,7,0,1,0,0,0,0,3,11,0.875,0.875,1,1,0.2727,23,1,1,0,0,0,0,0,25,36,0.92,0.96,1,1,0,0.9091,0.9394,1,1,0.0833
11/3/2025 14:00,14,8,0,1,0,1,0,0,7,17,0.8,0.8,0.9,0.9,0.4118,19,1,0,0,0,0,0,0,20,37,0.95,1,1,1,0,0.9,0.9333,0.9667,0.9667,0.1892
11/3/2025 15:00,15,16,0,0,0,0,0,0,10,26,1,1,1,1,0.3846,24,8,4,2,0,0,0,0,38,64,0.6316,0.8421,0.9474,1,0,0.7407,0.8889,0.963,1,0.1563
11/3/2025 16:00,16,6,0,0,1,0,0,0,6,13,0.8571,0.8571,0.8571,1,0.4615,15,1,1,0,0,0,0,0,17,30,0.8824,0.9412,1,1,0,0.875,0.9167,0.9583,1,0.2
11/3/2025 17:00,17,5,1,0,0,0,0,0,0,6,0.8333,1,1,1,0,29,5,1,0,0,0,0,1,36,42,0.8286,0.9714,1,1,0.0278,0.8293,0.9756,1,1,0.0238
11/3/2025 18:00,18,5,0,0,0,0,0,0,4,9,1,1,1,1,0.4444,91,10,3,3,1,0,0,0,108,117,0.8426,0.9352,0.963,0.9907,0,0.8496,0.9381,0.9646,0.9912,0.0342
11/3/2025 19:00,19,5,0,0,0,0,0,0,3,8,1,1,1,1,0.375,50,2,0,1,0,0,0,0,53,61,0.9434,0.9811,0.9811,1,0,0.9483,0.9828,0.9828,1,0.0492
11/3/2025 20:00,20,6,0,0,0,0,0,0,2,8,1,1,1,1,0.25,13,2,1,0,1,0,0,0,17,25,0.7647,0.8824,0.9412,0.9412,0,0.8261,0.913,0.9565,0.9565,0.08
11/3/2025 21:00,21,7,0,0,0,0,0,0,13,20,1,1,1,1,0.65,5,1,0,0,0,0,0,0,6,26,0.8333,1,1,1,0,0.9231,1,1,1,0.5
11/3/2025 22:00,22,10,0,0,0,0,0,0,2,12,1,1,1,1,0.1667,10,0,0,0,0,0,0,0,10,22,1,1,1,1,0,1,1,1,1,0.0909
11/3/2025 23:00,23,6,1,0,0,0,0,0,8,15,0.8571,1,1,1,0.5333,7,0,0,0,0,0,0,0,7,22,1,1,1,1,0,0.9286,1,1,1,0.3636
11/4/2025 00:00,00,3,0,0,0,0,0,0,0,3,1,1,1,1,0,5,0,0,1,0,0,0,0,6,9,0.8333,0.8333,0.8333,1,0,0.8889,0.8889,0.8889,1,0
11/4/2025 01:00,01,2,0,0,0,0,0,0,2,4,1,1,1,1,0.5,6,1,0,0,0,0,0,0,7,11,0.8571,1,1,1,0,0.8889,1,1,1,0.1818
11/4/2025 02:00,02,0,0,0,0,0,0,0,4,4,0,0,0,0,1,6,1,2,0,0,0,0,0,9,13,0.6667,0.7778,1,1,0,0.6667,0.7778,1,1,0.3077
11/4/2025 03:00,03,2,0,0,0,0,0,0,1,3,1,1,1,1,0.3333,8,0,0,0,0,0,0,0,8,11,1,1,1,1,0,1,1,1,1,0.0909
11/4/2025 04:00,04,1,0,0,0,0,0,0,2,3,1,1,1,1,0.6667,5,0,0,0,0,0,0,0,5,8,1,1,1,1,0,1,1,1,1,0.25
11/4/2025 05:00,05,1,0,0,0,0,0,0,0,1,1,1,1,1,0,5,2,0,1,0,1,0,0,9,10,0.5556,0.7778,0.7778,0.8889,0,0.6,0.8,0.8,0.9,0
11/4/2025 06:00,06,6,0,0,0,0,0,0,0,6,1,1,1,1,0,11,7,1,0,0,0,0,1,20,26,0.5789,0.9474,1,1,0.05,0.68,0.96,1,1,0.0385
11/4/2025 07:00,07,6,1,0,0,0,0,0,67,74,0.8571,1,1,1,0.9054,7,2,1,0,0,0,0,0,10,84,0.7,0.9,1,1,0,0.7647,0.9412,1,1,0.7976
11/4/2025 08:00,08,5,0,0,0,0,0,0,5,10,1,1,1,1,0.5,20,2,2,1,0,0,0,1,26,36,0.8,0.88,0.96,1,0.0385,0.8333,0.9,0.9667,1,0.1667
11/4/2025 09:00,09,7,0,0,1,0,0,0,6,14,0.875,0.875,0.875,1,0.4286,25,9,4,2,0,1,0,2,43,57,0.6098,0.8293,0.9268,0.9756,0.0465,0.6531,0.8367,0.9184,0.9796,0.1404
11/4/2025 10:00,10,7,1,0,1,0,0,0,25,34,0.7778,0.8889,0.8889,1,0.7353,22,3,3,3,1,0,0,0,32,66,0.6875,0.7813,0.875,0.9688,0,0.7073,0.8049,0.878,0.9756,0.3788
11/4/2025 11:00,11,5,1,0,0,0,0,0,5,11,0.8333,1,1,1,0.4545,62,9,3,3,0,1,0,2,80,91,0.7949,0.9103,0.9487,0.9872,0.025,0.7976,0.9167,0.9524,0.9881,0.0769
11/4/2025 12:00,12,5,0,0,0,0,0,0,10,15,1,1,1,1,0.6667,29,8,3,4,1,0,0,2,47,62,0.6444,0.8222,0.8889,0.9778,0.0426,0.68,0.84,0.9,0.98,0.1935
11/4/2025 13:00,13,7,1,1,0,0,0,0,5,14,0.7778,0.8889,1,1,0.3571,16,11,2,6,1,0,0,0,36,50,0.4444,0.75,0.8056,0.9722,0,0.5111,0.7778,0.8444,0.9778,0.1
11/4/2025 14:00,14,5,2,1,2,0,0,0,2,12,0.5,0.7,0.8,1,0.1667,64,5,2,0,0,0,0,0,71,83,0.9014,0.9718,1,1,0,0.8519,0.9383,0.9753,1,0.0241
11/4/2025 15:00,15,7,0,0,2,0,0,0,6,15,0.7778,0.7778,0.7778,1,0.4,86,10,3,1,1,1,0,1,103,118,0.8431,0.9412,0.9706,0.9804,0.0097,0.8378,0.9279,0.955,0.982,0.0593
11/4/2025 16:00,16,9,0,1,0,0,0,0,3,13,0.9,0.9,1,1,0.2308,24,5,2,1,0,0,0,1,33,46,0.75,0.9063,0.9688,1,0.0303,0.7857,0.9048,0.9762,1,0.087
11/4/2025 17:00,17,9,4,1,1,0,0,0,4,19,0.6,0.8667,0.9333,1,0.2105,20,4,1,0,0,1,0,0,26,45,0.7692,0.9231,0.9615,0.9615,0,0.7073,0.9024,0.9512,0.9756,0.0889
11/4/2025 18:00,18,13,1,0,0,0,0,0,10,24,0.9286,1,1,1,0.4167,18,4,2,2,2,0,0,0,28,52,0.6429,0.7857,0.8571,0.9286,0,0.7381,0.8571,0.9048,0.9524,0.1923
11/4/2025 19:00,19,15,1,0,1,0,0,0,4,21,0.8824,0.9412,0.9412,1,0.1905,17,6,0,1,0,0,0,0,24,45,0.7083,0.9583,0.9583,1,0,0.7805,0.9512,0.9512,1,0.0889
11/4/2025 20:00,20,9,0,0,0,0,0,0,2,11,1,1,1,1,0.1818,8,0,0,0,0,0,0,0,8,19,1,1,1,1,0,1,1,1,1,0.1053
11/4/2025 21:00,21,7,1,0,0,0,0,0,0,8,0.875,1,1,1,0,11,2,1,0,0,0,0,0,14,22,0.7857,0.9286,1,1,0,0.8182,0.9545,1,1,0
11/4/2025 22:00,22,6,0,0,0,0,0,0,0,6,1,1,1,1,0,6,2,1,0,0,0,0,0,9,15,0.6667,0.8889,1,1,0,0.8,0.9333,1,1,0
11/4/2025 23:00,23,6,0,0,1,0,0,0,4,11,0.8571,0.8571,0.8571,1,0.3636,8,0,0,0,0,0,0,2,10,21,1,1,1,1,0.2,0.9333,0.9333,0.9333,1,0.2857
11/5/2025 00:00,00,0,0,0,0,0,0,0,50,50,0,0,0,0,1,5,2,0,0,0,0,0,0,7,57,0.7143,1,1,1,0,0.7143,1,1,1,0.8772
11/5/2025 01:00,01,2,0,0,0,0,0,0,9,11,1,1,1,1,0.8182,3,0,1,0,0,0,0,0,4,15,0.75,0.75,1,1,0,0.8333,0.8333,1,1,0.6
11/5/2025 02:00,02,3,0,0,0,0,0,0,0,3,1,1,1,1,0,4,1,0,0,0,0,0,0,5,8,0.8,1,1,1,0,0.875,1,1,1,0
11/5/2025 03:00,03,2,2,0,0,0,0,0,0,4,0.5,1,1,1,0,6,0,0,0,0,0,0,0,6,10,1,1,1,1,0,0.8,1,1,1,0
11/5/2025 04:00,04,1,0,0,0,0,0,0,0,1,1,1,1,1,0,9,1,0,0,0,0,0,0,10,11,0.9,1,1,1,0,0.9091,1,1,1,0
11/5/2025 05:00,05,4,1,0,0,0,0,0,9,14,0.8,1,1,1,0.6429,13,3,0,0,0,0,0,0,16,30,0.8125,1,1,1,0,0.8095,1,1,1,0.3
11/5/2025 06:00,06,2,2,0,0,0,0,0,7,11,0.5,1,1,1,0.6364,15,2,2,0,0,0,0,0,19,30,0.7895,0.8947,1,1,0,0.7391,0.913,1,1,0.2333
11/5/2025 07:00,07,1,0,0,0,0,0,0,1,2,1,1,1,1,0.5,19,1,0,0,0,0,0,0,20,22,0.95,1,1,1,0,0.9524,1,1,1,0.0455
11/5/2025 08:00,08,7,0,0,0,0,0,0,7,14,1,1,1,1,0.5,27,0,0,0,0,0,0,0,27,41,1,1,1,1,0,1,1,1,1,0.1707
11/5/2025 09:00,09,8,2,0,0,0,0,0,2,12,0.8,1,1,1,0.1667,29,3,0,0,0,0,0,0,32,44,0.9063,1,1,1,0,0.881,1,1,1,0.0455
11/5/2025 10:00,10,8,0,0,0,0,0,0,4,12,1,1,1,1,0.3333,24,2,1,0,0,0,0,0,27,39,0.8889,0.963,1,1,0,0.9143,0.9714,1,1,0.1026
11/5/2025 11:00,11,8,0,0,0,0,0,0,1,9,1,1,1,1,0.1111,27,3,0,0,0,0,0,0,30,39,0.9,1,1,1,0,0.9211,1,1,1,0.0256
11/5/2025 12:00,12,8,1,0,0,0,0,0,12,21,0.8889,1,1,1,0.5714,45,1,0,0,0,0,0,0,46,67,0.9783,1,1,1,0,0.9636,1,1,1,0.1791
11/5/2025 13:00,13,3,1,0,0,0,0,0,8,12,0.75,1,1,1,0.6667,32,4,0,2,0,0,0,1,39,51,0.8421,0.9474,0.9474,1,0.0256,0.8333,0.9524,0.9524,1,0.1765
11/5/2025 14:00,14,11,0,0,0,0,0,0,26,37,1,1,1,1,0.7027,21,6,0,0,0,0,0,1,28,65,0.7778,1,1,1,0.0357,0.8421,1,1,1,0.4154
11/5/2025 15:00,15,12,1,0,0,0,0,0,11,24,0.9231,1,1,1,0.4583,34,4,0,0,0,0,0,0,38,62,0.8947,1,1,1,0,0.902,1,1,1,0.1774
11/5/2025 16:00,16,5,1,0,0,0,0,0,10,16,0.8333,1,1,1,0.625,33,12,1,0,0,0,0,0,46,62,0.7174,0.9783,1,1,0,0.7308,0.9808,1,1,0.1613
