DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total
11/11/2025 02:00,02,4,0,1,0,0,0,0,1,5,0.8,0.8,1,1,0.2,,,,,,,,,0,5
11/11/2025 03:00,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0
11/11/2025 04:00,04,4,0,0,0,0,0,0,2,4,1,1,1,1,0.5,,,,,,,,,0,4
11/11/2025 05:00,05,4,0,0,0,0,0,0,0,4,1,1,1,1,0,,,,,,,,,0,4
11/11/2025 06:00,06,23,0,0,0,0,0,0,16,23,1,1,1,1,0.695652174,,,,,,,,,0,23
11/11/2025 07:00,07,12,0,0,0,0,0,0,6,12,1,1,1,1,0.5,,,,,,,,,0,12
11/11/2025 08:00,08,6,0,0,0,0,0,0,4,6,1,1,1,1,0.666666667,,,,,,,,,0,6
11/11/2025 09:00,09,9,0,0,0,0,0,0,3,9,1,1,1,1,0.333333333,,,,,,,,,0,9
11/11/2025 10:00,10,10,0,0,0,0,0,0,1,10,1,1,1,1,0.1,,,,,,,,,0,10
11/11/2025 11:00,11,8,0,0,0,0,0,0,1,8,1,1,1,1,0.125,,,,,,,,,0,8
11/11/2025 12:00,12,8,0,0,0,0,0,0,2,8,1,1,1,1,0.25,,,,,,,,,0,8
11/11/2025 13:00,13,10,0,1,0,0,0,0,0,11,0.909090909,0.909090909,1,1,0,,,,,,,,,0,11
11/11/2025 14:00,14,5,0,0,0,0,0,0,1,5,1,1,1,1,0.2,,,,,,,,,0,5
11/11/2025 15:00,15,6,0,0,0,0,0,0,0,6,1,1,1,1,0,,,,,,,,,0,6
11/11/2025 16:00,16,10,0,0,0,0,0,0,1,10,1,1,1,1,0.1,,,,,,,,,0,10
11/11/2025 17:00,17,13,1,0,0,0,0,0,2,14,0.928571429,1,1,1,0.142857143,,,,,,,,,0,14
11/11/2025 18:00,18,8,0,0,0,0,0,0,0,8,1,1,1,1,0,,,,,,,,,0,8
11/11/2025 19:00,19,10,0,0,0,0,0,0,0,10,1,1,1,1,0,,,,,,,,,0,10
11/11/2025 20:00,20,9,0,0,0,0,0,0,1,9,1,1,1,1,0.111111111,,,,,,,,,0,9
11/11/2025 21:00,21,7,0,0,0,0,0,0,0,7,1,1,1,1,0,,,,,,,,,0,7
11/11/2025 22:00,22,1,0,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,0,1
11/11/2025 23:00,23,10,2,0,0,0,0,0,1,12,0.833333333,1,1,1,0.083333333,,,,,,,,,0,12
11/12/2025 00:00,00,5,0,1,0,0,0,0,,6,0.833333333,0.833333333,1,1,0,,,,,,,,,0,6
11/12/2025 01:00,01,12,0,0,0,0,0,0,,12,1,1,1,1,0,,,,,,,,,0,12
11/12/2025 02:00,02,8,0,0,0,0,0,0,,8,1,1,1,1,0,,,,,,,,,0,8
11/12/2025 03:00,03,3,0,0,0,0,0,0,,3,1,1,1,1,0,,,,,,,,,0,3
11/12/2025 04:00,04,7,0,0,0,0,0,0,,7,1,1,1,1,0,,,,,,,,,0,7
11/12/2025 05:00,05,3,0,0,0,0,0,0,,3,1,1,1,1,0,,,,,,,,,0,3
11/12/2025 06:00,06,5,0,0,0,0,0,0,,5,1,1,1,1,0,,,,,,,,,0,5
11/12/2025 07:00,07,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/12/2025 08:00,08,16,0,0,0,0,0,0,,16,1,1,1,1,0,,,,,,,,,0,16
11/12/2025 09:00,09,6,0,0,0,0,0,0,,6,1,1,1,1,0,,,,,,,,,0,6
11/12/2025 10:00,10,6,1,0,0,0,0,0,,7,0.857142857,1,1,1,0,,,,,,,,,0,7
11/12/2025 11:00,11,7,0,0,1,0,0,0,,8,0.875,0.875,0.875,1,0,,,,,,,,,0,8
11/12/2025 12:00,12,9,3,0,1,0,0,0,,13,0.692307692,0.923076923,0.923076923,1,0,,,,,,,,,0,13
11/12/2025 13:00,13,5,1,0,0,0,0,0,,6,0.833333333,1,1,1,0,,,,,,,,,0,6
