DateTime,Hour,911_10,911_15,911_20,911_40,911_60,911_120,911_121,911_AB,911_T,911_PCT_10,911_PCT_15,911_PCT_20,911_PCT_40,911_PCT_AB,ADM_10,ADM_15,ADM_20,ADM_40,ADM_60,ADM_120,ADM_121,ADM_AB,ADM_T,Total,ADM_PCT_10,PCT_ADM_15,ADM_PCT_20,ADM_PCT_40,ADM_PCT_AB,TTL_PCT_10,TTL_PCT_15,TTL_PCT_20,TTL_PCT_40,TTL_PCT_AB
10/26/2025 00:00,00,10,4,0,1,0,0,0,4,19,0.6667,0.9333,0.9333,1,0.2105,17,1,1,3,0,0,0,3,25,44,0.7727,0.8182,0.8636,1,0.12,0.7297,0.8649,0.8919,1,0.1591
10/26/2025 01:00,01,5,0,0,0,0,0,0,2,7,1,1,1,1,0.2857,13,2,0,0,0,0,0,0,15,22,0.8667,1,1,1,0,0.9,1,1,1,0.0909
10/26/2025 02:00,02,3,0,0,0,0,0,0,0,3,1,1,1,1,0,12,1,0,0,0,0,0,0,13,16,0.9231,1,1,1,0,0.9375,1,1,1,0
10/26/2025 03:00,03,5,0,0,0,0,0,0,0,5,1,1,1,1,0,5,1,0,0,0,0,0,0,6,11,0.8333,1,1,1,0,0.9091,1,1,1,0
10/26/2025 04:00,04,2,0,0,0,0,0,0,0,2,1,1,1,1,0,5,0,0,0,0,0,0,0,5,7,1,1,1,1,0,1,1,1,1,0
10/26/2025 05:00,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,6,0.6667,1,1,1,0,0.6667,1,1,1,0
10/26/2025 06:00,06,2,0,0,0,0,0,0,0,2,1,1,1,1,0,8,0,0,0,0,0,0,0,8,10,1,1,1,1,0,1,1,1,1,0
10/26/2025 07:00,07,4,0,0,0,0,0,0,3,7,1,1,1,1,0.4286,9,1,0,1,0,0,0,2,13,20,0.8182,0.9091,0.9091,1,0.1538,0.8667,0.9333,0.9333,1,0.25
10/26/2025 08:00,08,3,0,0,0,0,0,0,2,5,1,1,1,1,0.4,9,1,1,1,0,0,0,0,12,17,0.75,0.8333,0.9167,1,0,0.8,0.8667,0.9333,1,0.1176
10/26/2025 09:00,09,2,0,0,0,0,0,0,0,2,1,1,1,1,0,16,2,0,1,0,0,0,1,20,22,0.8421,0.9474,0.9474,1,0.05,0.8571,0.9524,0.9524,1,0.0455
10/26/2025 10:00,10,7,1,0,0,0,0,0,1,9,0.875,1,1,1,0.1111,21,1,1,1,0,0,0,0,24,33,0.875,0.9167,0.9583,1,0,0.875,0.9375,0.9688,1,0.0303
10/26/2025 11:00,11,4,1,0,0,0,0,0,2,7,0.8,1,1,1,0.2857,16,4,0,0,0,0,0,1,21,28,0.8,1,1,1,0.0476,0.8,1,1,1,0.1071
10/26/2025 12:00,12,8,0,0,0,0,0,0,0,8,1,1,1,1,0,11,3,0,0,0,0,0,1,15,23,0.7857,1,1,1,0.0667,0.8636,1,1,1,0.0435
10/26/2025 13:00,13,4,1,0,0,0,0,0,0,5,0.8,1,1,1,0,23,4,2,1,0,0,0,0,30,35,0.7667,0.9,0.9667,1,0,0.7714,0.9143,0.9714,1,0
10/26/2025 14:00,14,7,2,1,1,0,0,0,3,14,0.6364,0.8182,0.9091,1,0.2143,18,2,2,1,1,0,0,2,26,40,0.75,0.8333,0.9167,0.9583,0.0769,0.7143,0.8286,0.9143,0.9714,0.125
10/26/2025 15:00,15,2,1,0,2,0,1,0,0,6,0.3333,0.5,0.5,0.8333,0,15,1,1,1,0,1,1,0,20,26,0.75,0.8,0.85,0.9,0,0.6538,0.7308,0.7692,0.8846,0
10/26/2025 16:00,16,10,1,0,0,0,0,0,1,12,0.9091,1,1,1,0.0833,14,2,0,1,0,0,0,0,17,29,0.8235,0.9412,0.9412,1,0,0.8571,0.9643,0.9643,1,0.0345
10/26/2025 17:00,17,9,0,0,1,0,0,0,1,11,0.9,0.9,0.9,1,0.0909,14,0,0,0,0,0,0,0,14,25,1,1,1,1,0,0.9583,0.9583,0.9583,1,0.04
10/26/2025 18:00,18,5,1,0,1,0,0,0,0,7,0.7143,0.8571,0.8571,1,0,13,2,0,0,0,0,0,0,15,22,0.8667,1,1,1,0,0.8182,0.9545,0.9545,1,0
10/26/2025 19:00,19,3,0,0,0,0,0,0,2,5,1,1,1,1,0.4,14,0,0,0,0,0,0,0,14,19,1,1,1,1,0,1,1,1,1,0.1053
10/26/2025 20:00,20,8,1,0,0,0,0,0,0,9,0.8889,1,1,1,0,12,0,1,0,0,0,0,0,13,22,0.9231,0.9231,1,1,0,0.9091,0.9545,1,1,0
10/26/2025 21:00,21,8,0,0,1,0,0,0,4,13,0.8889,0.8889,0.8889,1,0.3077,5,1,3,2,0,0,0,0,11,24,0.4545,0.5455,0.8182,1,0,0.65,0.7,0.85,1,0.1667
10/26/2025 22:00,22,2,0,0,0,0,0,0,0,2,1,1,1,1,0,8,1,1,0,1,0,0,0,11,13,0.7273,0.8182,0.9091,0.9091,0,0.7692,0.8462,0.9231,0.9231,0
10/26/2025 23:00,23,5,0,1,0,0,0,0,0,6,0.8333,0.8333,1,1,0,8,1,0,0,0,0,0,0,9,15,0.8889,1,1,1,0,0.8667,0.9333,1,1,0
10/27/2025 00:00,00,2,0,0,0,0,0,0,1,3,1,1,1,1,0.3333,3,0,0,0,0,0,0,0,3,6,1,1,1,1,0,1,1,1,1,0.1667
10/27/2025 01:00,01,2,0,0,0,0,0,0,0,2,1,1,1,1,0,6,0,0,0,0,0,0,0,6,8,1,1,1,1,0,1,1,1,1,0
10/27/2025 02:00,02,6,0,0,1,0,0,0,1,8,0.8571,0.8571,0.8571,1,0.125,6,0,0,0,0,0,0,0,6,14,1,1,1,1,0,0.9231,0.9231,0.9231,1,0.0714
10/27/2025 03:00,03,2,0,0,0,0,0,0,0,2,1,1,1,1,0,5,2,0,0,0,0,0,0,7,9,0.7143,1,1,1,0,0.7778,1,1,1,0
10/27/2025 04:00,04,1,0,0,0,0,0,0,0,1,1,1,1,1,0,10,0,0,0,0,0,0,0,10,11,1,1,1,1,0,1,1,1,1,0
10/27/2025 05:00,05,3,0,0,1,0,0,0,0,4,0.75,0.75,0.75,1,0,3,1,1,1,0,0,0,0,6,10,0.5,0.6667,0.8333,1,0,0.6,0.7,0.8,1,0
10/27/2025 06:00,06,3,0,0,0,0,0,0,0,3,1,1,1,1,0,20,1,0,0,0,0,0,0,21,24,0.9524,1,1,1,0,0.9583,1,1,1,0
